id,created_at,rol,rol_otro,familiaridad,dispositivo,entiende_csh,claridad_homepage,confusion_detalle,propuesta_valor,inicio_rapido,inicio_detalle,sobre_csh_facilidad,valores_facilidad,programas_facilidad,ruta_sugerida,ruta_mejora,dev_seriedad,dev_no_es_para_mi,dev_seccion_interes,biz_iniciativas_claras,biz_info_faltante,biz_frase_justificacion,nt_abrumado,nt_solo_expertos,ganas_participar,cta_claros,cta_cambiar,micro_intake,micro_intake_mejora,sensacion_visual,animaciones,animaciones_detalle,cambio_uno,mas_gusto,sorpresa_positiva,comentarios_adicionales
01a7b8dc-8ab5-4d6c-8a7d-509c94b25311,2026-03-16 02:05:30.051382+00,dev,,no_conocia,telefono,Una comunidad de apoyo entre estudiantes de ciencias de la computación en refuerzos sobre cosas que no comprendieron y/o entender el campo laboral,muy_claro,"La pequeña ","Ayudar a los estudiantes a estudiar mejor ",si,,muy_facil,facil,facil,oriento_bastante,,mucho,,,,,,,,muchas,si,,bien,,cuidada_pesada,muy_agradables,,"Talvez un poco la estética, esta bien en general pero sin contexto parece que no tiene mucho que ver con el tema del sitio","La formalidad, el propósito y lo sencillo que es entender como funciona ","Las animaciones ",
1b3a01a3-2d3a-4d2b-82c8-d3ebbca89b3f,2026-03-16 00:25:21.117613+00,dev,,no_conocia,laptop_desktop,"como un club de gente que sabe programar, como esas facultades de las escuelas gringas",claro,,"en sí ser una comunidad unida y activa que no es egoísta ",si,está sencillo,facil,facil,facil,oriento_bastante,nada la verdad,poco,no,"aun no soy desarrollador ",,,,,,muchas,mas_o_menos,ninguno,bien,nada,simple_clara,muy_agradables,ls,maybe hacerlo un poquito mas colorido,aun no la he tenidp,"el fondo del inicio, me recuerda bastante a un lugar de la UDB de Soya",no
48e0dfa4-2ca9-4e3d-95de-2772c2fe3379,2026-03-16 01:47:55.352253+00,dev,,conozco_alguien,laptop_desktop,Es una comunidad que se centra en el apoyo entre estudiantes que fomenta a seguir adelante tanto en el lado académico como en el laboral,claro,,"Los valores me parecen bien sementados, pero hay puntos que se pueden abordar dentro de un mismo valor principal",si,"Pues es intuitivo a la hora de usar, bien optimizado, pero con muucha informacion repetitiva que se puede encontrar en los otros segmentos si te detienes a leer",facil,facil,facil,podria_simplificarse,"Dentro de lo que cabe, pero si lo utilizas antes de leer toda la pagina principal básicamente ya lo sabes todo, y ahí recaigo en la info que se repite, podría simplificarse o dividirse de manera distinta ",bastante,"Pues me parece bastante favorable como dev si en verdad hay un apoyo entre todos, pero en ocasiones se centraliza mucho en ciertas personas y se pierde la igualdad, lo que hace que si pareza mas un club de donde solo sacar materiales utiles ","El apartado de programas ((profesional), hacer esto seria muy favorable para la comunidad estudiantil, la practica es lo mas importante en la vida laboral de un Dev",,,,,,muchas,mas_o_menos,CTA???,bien,,muy_profesional,muy_agradables,"Me gusta esa fluidez que maneja, no afectara a futuro cunado se empiecen a manejar datos ?","Solamente lo repetitivo de la información, y si es meramente de estudiantes si me parece bien la manera de dirigirse al  leyente","Lo fluido y visual de la pagina ",El estilo que maneja la pagina y el potencial que tiene todo en general si se maneja bien,
757950dd-842f-4609-b9ae-ad606dc69f8b,2026-03-16 01:00:22.77265+00,dev,,no_conocia,telefono,"Una comunidad para estudiantes de las ciencias en computacion donde pueden subir documentos ",muy_claro,,"Es muy buena ",mas_o_menos,,facil,facil,muy_facil,oriento_bastante,,mucho,,,,,,,,muchas,si,,bien,,cuidada_pesada,muy_agradables,,"No cambiaria nada ","La interfaz ",,
81dda806-27c8-42de-a9dc-d8bf3ba9be92,2026-03-16 01:25:50.104811+00,no_tecnico,,no_conocia,laptop_desktop,Un nuevo programa en donde sirve de herramienta innovadora para el aprendizaje y estudios.,muy_claro,,El aprendizaje visto desde una perspectiva tecnológoca.,si,Aparecían los apartados de secciones más importantes.,muy_facil,muy_facil,muy_facil,oriento_bastante,Agregar algún tutorial para las personas que se les dificulta un poco.,,,,,,,no_todo_bien,Todo se entiende bien.,muchas,si,Algún apartado para cursos o información de empresas en las que los estudiantes puedan aplicar.,bien,,muy_profesional,muy_agradables,,En la parte de programas y profesional agregar alguna opción para cursos en materias innovadoras.,"El diseño, es muy profesional y no es nada que dañe la vista, no son colores vibrantes y sobre todo muy ordenado.","La encuesta, porque toman en cuenta las opiniones de los demás.",Muy excelente página y provee mucha información.
937e571c-bac4-4f5f-8075-291d5589efba,2026-03-16 00:01:26.699596+00,dev,,parte_activa,telefono,"Entiendo que se enfoca en ayudarse entre los estudiantes de ingeniería, que busca ayudar a crecer como personas, y como profesionales, nos da nuevas experiencias personales y profesionales que nos ayudarán en un futuro.",muy_claro,,El ayudarse entre los miembros para superarse cada día.,si,,facil,facil,facil,oriento_bastante,De momento nada.,mucho,No me pareció bastante bien todo.,Las tutorias y las actividades con una proyección profesional.,,,,,,muchas,si,"De momento no cambiaría alguno, todos están bien posicionados y están estéticamente bien.",bien,,muy_profesional,muy_agradables,"De momento todo me gusta, esta bastante bien.","Como tal, no veo el hecho de que tenga que cambiarle algo al sitio web, esta muy bien hecho.","Me gustó el diseño, me gusta lo rápido y como te guía la página.","Lo bien que se ve en celular, muchas paginas se ven horribles en celular ",Muy bien todo. Les 10 al equipo de CSH
9956554a-4a10-442a-b1a9-e5e4a2217b5f,2026-03-16 00:42:51.040153+00,no_tecnico,,habia_oido,tablet,Una comunidad de ingenieras especializada en software,claro,,Un espacio donde los estudiantes de CS puedan apoyarse y encontrar contactos,si,Porque es claro todo,muy_facil,facil,muy_facil,podria_simplificarse,No tengo el conocimiento para poder dar una opinion concisa en el tema,,,,,,,un_poco,,algunas,si,,bien,,cuidada_pesada,bien_muchas,,Tener colores UN POQUITO mas vivos,Ver una claro detalle en que se quiere enfocar a presentar el sitio web,,
9bb63d98-3a63-47ad-98b9-dca2b37f0d2b,2026-03-16 01:15:18.052313+00,no_tecnico,,conozco_alguien,telefono,Muy fluido la vibra la sensación de estar en la pagina una belleza.,muy_claro,,"Su facilidad de navegación ",si,,muy_facil,muy_facil,muy_facil,oriento_bastante,,,,,,,,no_todo_bien,,muchas,si,,bien,,muy_profesional,muy_agradables,,"Nada a mi parecer es perfecta ",Su fluides y facil compresion,La manera que estan ubicada las cosas,"Es perfecto "
a6eecceb-5600-4579-b407-9befeed83e4c,2026-03-16 01:33:31.727261+00,dev,,no_conocia,telefono,Es una comunidad de apoyo ha estudiantes.,muy_claro,,"La de ayudar a otros estudiantes, cuando recien entras ha la universidad es un nuevo mundo donde no sabes que sucedera ni por donde arrancar, asique me parece super increíble la propuesta de brindar apoyo a los estudiantes, con cursos y información que les sera de mucha utilidad en su desarrollo de su carrera.",si,"Me agrado mucho la interfaz, solamente que hay mucha información en la pagina de inicio, como recomendación podrias realizar campos expandibles.",normal,normal,normal,oriento_bastante,,mucho,"Me encantó todo lo demas ",Me encanto las transiciones.,,,,,,muchas,si,Me parece muy claro todo,bien,,muy_profesional,muy_agradables,,Solo ajustar el responsive de la pagina y chequear el cierre de div o ajustes del centrado de los iconos.,Lo intuitiva y dinamica de la pagina.,,
b5f60e83-6b7d-4c45-80b1-074b50ec8595,2026-03-16 01:01:21.729588+00,dev,,habia_oido,telefono,"Es una comunidad que intenta crear una red de apoyo entre ingenieros relacionadas a las ciencias en computación o informática y tecnología en general, este ofrece distintos tipos de apoyo desde académico hasta laboral ",claro,,"Red de apoyo, para diversas áreas relacionadas a alumnos (estudiando la carrera) e ingenieros",mas_o_menos,"(al menos yo que lo vi en telefono) es fácil ver lo importante que es la explicación general del CSH, sin embargo diría que es algo confuso cada sección, en el sentido de que hay algunas que te redirigen a una sección que ya había visto, y llega un punto en que puede ser confuso, en escritorio es un poco más facil pero talvez estaria bien mejorar las redirecciones entre las secciones ",muy_facil,facil,facil,podria_simplificarse,"Más que podría simplificarse diría que se mejorara la forma de ver la ruta que fuera secuencial en una sola página que, pedazo por pedazo, o crear un botón que permita ver cada paso de la ruta sugerida, ya que al menos yo me confundí por un momento, tanto en telefono como en escritorio",bastante,"No tengo ninguna queja respecto a esta pregunta ","Tal vez la red de apoyo académico y proyección profesional, ya quea nivel académico puede resultar algo complicado para gente que le cuesta un poco comprender los conceptos informáticos y llevar el ritmo de la carrera( y otras cosas) y que se ofrezca apoyo extra como tutorías o tips de gente que maneja esos conceptos se me hace algo bien (yo siendo alguien que todavía le cuesta estos mismos conceptos computacionales) y lo de proyección profesional porque hoy en día puede resultar más complicado conseguir un trabajo de tu carrera de manera fácil y provechosa, y que haya una red de apoyo ya a nivel laboral siento que ayudará a mucha gente, sobre todo para la gente que empezará este rubro",,,,,,muchas,mas_o_menos,"Tal vez el de la ruta sugerida que como digo está algo confusa pero en ideas está súper bien ",bien,"Que de las opciones que se presentan de interés, se permitan elegir las tres al mismo tiempo ya que puede haber gente que le interese el lado académico y profesional al mismo tiempo ",simple_clara,muy_agradables,"Me gusta la animación que a medida que escroleas va apareciendo el texto, muy usado hoy en día sin embargo es agradable y mejor que solo ver un texto estatico","Un poco los botones y las redirecciones de las secciones, lo de más me parece súper bien",La información que ofrece y la idea general del CSH,"El hecho de que se quiera crear una comunidad para apoyarnos entre todos, me parece algo hasta cálido y bonito y dan ganas de seguir estudiando esta carrera, para participar en esta comunidad, es alentador","Ánimo chicos, este proyecto se ve increíble!!! y si anima a uno a participar dentro de ella :)"
c475d40b-0ea6-4158-8273-702f5727cb1a,2026-03-16 01:18:04.759826+00,no_tecnico,,habia_oido,laptop_desktop,"Computer Science Hub a mi punto de vista, es una página web que tiene como propósito ser vivamente un lugar de aprendizaje con proyección futura a nuevas prácticas y métodos de estudio, con el objetivo que un estudiante adquiera mayor motivación y proyección profesional futura.",muy_claro,,Podría decirse que la implementación de nuevos métodos y un aula viva de estudio para el aprendizaje además de proyección profesional a los estudiantes.,si,Me ayudó la página principal la cuál es una breve pero precisa introducción a los objetivos y funcionamiento de la página.,muy_facil,muy_facil,muy_facil,oriento_bastante,"Sí, me ayuda a entender como funciona el sistema más a fondo, para mi está bien orientada.",,,,,,,no_todo_bien,"No, en ningún momento, la página está bien orientada para entender cada cosa.",muchas,si,Están bien posicionados para entender adonde ir y que realizar.,bien,"Talvez le podría agregar un tipo de materia de interés, o tipo de carrera.",muy_profesional,muy_agradables,,"Talvez, no le quitaría nada solo ocuparía un poco más de interactividad para el sitio web.",Me gustó mucho la interfaz formal y que podemos crecer como estudiantes gracias a una ayuda para el sistema.,El avance notorio del sistema.,"El diseño web el front-end es un gran paso para poder realizar el sistema, ya que se conoce como funcionará y que beneficios tendrá para nosotros los estudiantes"
f3d570d2-e720-4b73-a9ae-84f69bed0727,2026-03-16 00:19:59.661113+00,dev,,conozco_alguien,telefono,"Que sera un entorno para comprender mas acerca de la computación y poder enfocarse mas al aprendizaje sobre los lenguajes, tipos de programas, IA, etc.",claro,,"Hacer que los estudiantes pueden entender y profundizar mas en el ámbito de la computación ",mas_o_menos,,normal,normal,normal,no_la_note,,mucho,No,,,,,,,muchas,si,,bien,,simple_clara,casi_no_note,"Pensé que ni habían ","El color, muy oscuro ","Que se enfoca mucho en las necesidades de la comunidad ",,